Source,Target,Type
752,1762,directed
753,1763,directed
754,1764,directed
755,1765,directed
756,1766,directed
757,1767,directed
758,1768,directed
759,1769,directed
760,1770,directed
761,1771,directed
762,1772,directed
763,1773,directed
764,1774,directed
765,1775,directed
766,1776,directed
767,1777,directed
768,1778,directed
769,1779,directed
770,1780,directed
771,1781,directed
772,1782,directed
773,1783,directed
774,1784,directed
775,1785,directed
776,1786,directed
777,1787,directed
778,1788,directed
779,1789,directed
780,1790,directed
781,1791,directed
782,1792,directed
783,1793,directed
784,1794,directed
785,1795,directed
786,1796,directed
787,1797,directed
788,1798,directed
789,1799,directed
790,1800,directed
791,1801,directed
792,1802,directed
793,1803,directed
794,1804,directed
795,1805,directed
796,1806,directed
797,1807,directed
798,1808,directed
799,1809,directed
800,1810,directed
801,1811,directed
802,1812,directed
803,1813,directed
804,1814,directed
805,1815,directed
806,1816,directed
807,1817,directed
808,1818,directed
809,1819,directed
810,1820,directed
811,1821,directed
812,1822,directed
813,1823,directed
814,1824,directed
815,1825,directed
816,1826,directed
817,1827,directed
818,1828,directed
819,1829,directed
820,1830,directed
821,1831,directed
822,1832,directed
823,1833,directed
824,1834,directed
825,1835,directed
826,1836,directed
827,1837,directed
828,1838,directed
829,1839,directed
830,1840,directed
831,1841,directed
832,1842,directed
833,1843,directed
834,1844,directed
835,1845,directed
836,1846,directed
837,1847,directed
838,1848,directed
839,1849,directed
840,1850,directed
841,1851,directed
842,1852,directed
843,1853,directed
844,1854,directed
845,1855,directed
846,1856,directed
847,1857,directed
848,1858,directed
849,1859,directed
850,1860,directed
851,1861,directed
852,1862,directed
853,1863,directed
854,1864,directed
855,1865,directed
856,1866,directed
857,1867,directed
858,1868,directed
859,1869,directed
860,1870,directed
861,1871,directed
862,1872,directed
863,1873,directed
864,1874,directed
865,1875,directed
866,1876,directed
867,1877,directed
868,1878,directed
869,1879,directed
870,1880,directed
871,1881,directed
872,1882,directed
873,1883,directed
874,1884,directed
875,1885,directed
876,1886,directed
877,1887,directed
878,1888,directed
879,1889,directed
880,1890,directed
881,1891,directed
882,1892,directed
883,1893,directed
884,1894,directed
885,1895,directed
886,1896,directed
887,1897,directed
888,1898,directed
889,1899,directed
890,1900,directed
891,1901,directed
892,1902,directed
893,1903,directed
894,1904,directed
895,1905,directed
896,1906,directed
897,1907,directed
898,1908,directed
899,1909,directed
900,1910,directed
901,1911,directed
902,1912,directed
903,1913,directed
904,1914,directed
905,1915,directed
906,1916,directed
907,1917,directed
908,1918,directed
909,1919,directed
910,1920,directed
911,1921,directed
912,1922,directed
913,1923,directed
914,1924,directed
915,1925,directed
916,1926,directed
917,1927,directed
918,1928,directed
919,1929,directed
920,1930,directed
921,1931,directed
922,1932,directed
923,1933,directed
924,1934,directed
925,1935,directed
926,1936,directed
927,1937,directed
928,1938,directed
929,1939,directed
930,1940,directed
931,1941,directed
932,1942,directed
933,1943,directed
934,1944,directed
935,1945,directed
936,1946,directed
937,1947,directed
938,1948,directed
939,1949,directed
940,1950,directed
941,1951,directed
942,1952,directed
943,1953,directed
944,1954,directed
945,1955,directed
946,1956,directed
947,1957,directed
948,1958,directed
949,1959,directed
950,1960,directed
951,1961,directed
952,1962,directed
953,1963,directed
954,1964,directed
955,1965,directed
956,1966,directed
957,1967,directed
958,1968,directed
959,1969,directed
960,1970,directed
961,1971,directed
962,1972,directed
963,1973,directed
964,1974,directed
965,1099,directed
966,1975,directed
967,1976,directed
968,1977,directed
969,1978,directed
970,1979,directed
971,1980,directed
972,1981,directed
973,1982,directed
974,1983,directed
975,1984,directed
976,1985,directed
977,1986,directed
978,1987,directed
979,1988,directed
980,1989,directed
981,1990,directed
982,1991,directed
983,1992,directed
984,1993,directed
985,1994,directed
986,1995,directed
987,1996,directed
988,1997,directed
989,1998,directed
990,1999,directed
991,2000,directed
992,2001,directed
993,2002,directed
994,2003,directed
995,2004,directed
996,2005,directed
997,2006,directed
998,2007,directed
999,2008,directed
1000,2009,directed
1001,2010,directed
1002,2011,directed
1003,2012,directed
1004,2013,directed
1005,2014,directed
1006,2015,directed
1007,2016,directed
1008,2017,directed
1009,2018,directed
1010,2019,directed
1011,2020,directed
1012,2021,directed
1013,2022,directed
